targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.0,0.0,1.0,1.0,1.3621134020618557
7.1,1.0,0.0,1.0,1.0,1.4283783783783783
7.2,1.0,0.0,1.0,1.0,1.4929378531073447
7.3,1.0,0.0,1.0,1.0,1.5799701046337817
7.4,2.0,0.0,2.0,2.0,1.7103559870550162
7.5,2.0,0.0,2.0,2.0,1.7915254237288136
7.6,2.0,0.0,2.0,2.0,1.8774422735346359
7.7,2.0,0.0,2.0,2.0,2.013333333333333
7.8,2.0,0.0,2.0,2.0,2.1224899598393576
7.9,2.0,0.0,2.0,2.0,2.239406779661017
8.0,2.0,0.0,2.0,2.0,2.354120267260579
8.1,2.0,0.0,2.0,2.0,2.703324808184143
8.2,2.0,0.0,2.0,2.0,2.887978142076503
8.3,2.0,0.0,2.0,2.0,3.2423312883435584
8.4,2.0,0.0,2.0,2.0,4.12890625
8.5,2.0,0.0,2.0,2.0,4.262096774193548
8.6,2.0,0.0,2.0,2.0,5.106280193236715
8.7,2.0,0.0,2.0,2.0,6.647798742138365
8.8,3.0,0.0,3.0,3.0,8.2578125
8.9,3.0,0.0,3.0,3.0,11.615384615384615
9.0,12.0,0.0,12.0,12.0,17.048387096774192
9.1,12.0,0.0,12.0,12.0,36.44827586206897
9.2,21.0,0.0,21.0,21.0,70.46666666666667
9.3,33.0,0.0,33.0,33.0,132.125
9.4,101.0,0.0,101.0,101.0,264.25
9.5,116.0,0.0,116.0,116.0,352.3333333333333
9.6,116.0,0.0,116.0,116.0,528.5
9.7,116.0,0.0,116.0,116.0,528.5
9.8,116.0,0.0,116.0,116.0,528.5
9.9,116.0,0.0,116.0,116.0,528.5
10.0,116.0,0.0,116.0,116.0,528.5
10.0,116.0,0.0,116.0,116.0,528.5
