run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1054.0,213.0,1030.0,580.0,681.0,531.0,822.0,1090.0,1214.0,706.0,87.0,909.0,416.0,445.0,583.0,1234.0,1039.0,611.0,267.0,484.0,531.0,1236.0,658.0,446.0,968.0
870.0,218.0,254.0,388.0,869.0,1339.0,1325.0,1226.0,1443.0,941.0,254.0,1035.0,473.0,897.0,218.0,218.0,1256.0,254.0,303.0,772.0,254.0,1342.0,153.0,772.0,146.0
1413.0,1467.0,1467.0,67.0,1180.0,1346.0,1348.0,680.0,76.0,1314.0,1413.0,1180.0,147.0,344.0,477.0,76.0,1414.0,147.0,1448.0,348.0,731.0,1314.0,858.0,1492.0,1413.0
687.0,1459.0,269.0,1.0,1383.0,1201.0,295.0,687.0,1451.0,1501.0,1167.0,199.0,1410.0,1072.0,752.0,1228.0,1332.0,1501.0,671.0,520.0,1459.0,50.0,1075.0,358.0,933.0
1350.0,1127.0,462.0,1480.0,528.0,449.0,15.0,1148.0,1053.0,705.0,698.0,937.0,1373.0,1282.0,1341.0,904.0,1375.0,1275.0,1396.0,928.0,1490.0,210.0,515.0,1251.0,848.0
1255.0,818.0,624.0,920.0,1273.0,35.0,483.0,969.0,293.0,406.0,998.0,451.0,1255.0,992.0,620.0,995.0,266.0,1097.0,979.0,410.0,451.0,662.0,850.0,1288.0,813.0
207.0,1390.0,183.0,1300.0,867.0,1189.0,1358.0,1024.0,1126.0,428.0,551.0,454.0,1353.0,1060.0,550.0,1268.0,370.0,428.0,383.0,1014.0,645.0,649.0,385.0,659.0,1390.0
1500.0,1124.0,763.0,780.0,286.0,716.0,1031.0,357.0,887.0,896.0,249.0,886.0,886.0,712.0,313.0,1426.0,746.0,759.0,106.0,639.0,779.0,1067.0,357.0,704.0,69.0
971.0,713.0,1334.0,185.0,1418.0,1333.0,1194.0,1149.0,185.0,1433.0,144.0,1335.0,1043.0,48.0,713.0,971.0,754.0,79.0,971.0,1376.0,971.0,1376.0,1191.0,105.0,1377.0
1505.0,793.0,493.0,925.0,625.0,1264.0,1489.0,456.0,960.0,1497.0,0.0,274.0,307.0,1078.0,392.0,677.0,647.0,246.0,629.0,834.0,1323.0,1497.0,560.0,736.0,511.0
1460.0,1259.0,1352.0,1352.0,1012.0,1165.0,153.0,1012.0,57.0,799.0,341.0,1012.0,1012.0,1012.0,1256.0,307.0,83.0,1012.0,156.0,1165.0,173.0,799.0,829.0,799.0,1012.0
1027.0,134.0,718.0,1478.0,1256.0,153.0,1012.0,194.0,974.0,1165.0,204.0,1256.0,153.0,1050.0,297.0,799.0,660.0,1165.0,94.0,46.0,560.0,1165.0,201.0,1012.0,153.0
11.0,682.0,1012.0,799.0,153.0,203.0,141.0,682.0,194.0,1012.0,1165.0,531.0,204.0,153.0,3.0,696.0,696.0,153.0,1012.0,1460.0,696.0,1012.0,1208.0,882.0,921.0
1470.0,1299.0,375.0,57.0,696.0,1460.0,203.0,799.0,203.0,153.0,80.0,113.0,682.0,141.0,1012.0,1259.0,68.0,939.0,799.0,460.0,310.0,1259.0,1336.0,1460.0,203.0
492.0,1428.0,194.0,718.0,194.0,563.0,1256.0,1165.0,201.0,1050.0,1012.0,696.0,141.0,1165.0,205.0,1141.0,883.0,203.0,567.0,1506.0,993.0,370.0,1335.0,1441.0,201.0
1506.0,205.0,203.0,818.0,201.0,201.0,201.0,975.0,1506.0,1470.0,975.0,1342.0,203.0,203.0,1299.0,375.0,931.0,505.0,1460.0,865.0,354.0,619.0,1406.0,1437.0,940.0
722.0,107.0,201.0,1030.0,113.0,1012.0,921.0,80.0,861.0,1329.0,201.0,1449.0,974.0,201.0,1429.0,189.0,153.0,473.0,1094.0,1094.0,1312.0,153.0,566.0,863.0,975.0
113.0,1256.0,341.0,1196.0,1449.0,194.0,939.0,1256.0,1012.0,947.0,473.0,1141.0,201.0,941.0,931.0,660.0,563.0,975.0,1449.0,3.0,1141.0,1312.0,111.0,1485.0,80.0
397.0,696.0,1256.0,512.0,975.0,1256.0,473.0,203.0,682.0,563.0,153.0,156.0,975.0,83.0,1259.0,1012.0,1196.0,80.0,189.0,1050.0,94.0,141.0,1012.0,597.0,473.0
356.0,153.0,696.0,134.0,80.0,974.0,505.0,473.0,1256.0,1474.0,939.0,153.0,660.0,921.0,201.0,153.0,1185.0,1256.0,939.0,94.0,1012.0,1256.0,706.0,486.0,1226.0
1437.0,1012.0,975.0,1141.0,1226.0,682.0,682.0,921.0,696.0,1200.0,1256.0,80.0,80.0,1312.0,869.0,1256.0,921.0,1226.0,975.0,923.0,189.0,203.0,660.0,1116.0,939.0
1441.0,921.0,80.0,1301.0,473.0,975.0,975.0,153.0,341.0,396.0,505.0,975.0,194.0,194.0,203.0,203.0,141.0,682.0,80.0,567.0,156.0,201.0,190.0,690.0,682.0
863.0,203.0,473.0,1069.0,204.0,80.0,80.0,505.0,153.0,221.0,1226.0,203.0,1256.0,974.0,153.0,921.0,674.0,1339.0,203.0,1365.0,46.0,194.0,1156.0,1455.0,505.0
851.0,939.0,939.0,1186.0,939.0,473.0,1226.0,939.0,975.0,1495.0,682.0,921.0,939.0,682.0,921.0,194.0,203.0,921.0,1226.0,156.0,146.0,682.0,305.0,851.0,321.0
864.0,341.0,505.0,1372.0,505.0,1226.0,321.0,201.0,80.0,1339.0,375.0,1226.0,505.0,975.0,682.0,201.0,201.0,321.0,473.0,279.0,460.0,974.0,141.0,1443.0,1256.0
395.0,974.0,1226.0,233.0,921.0,939.0,204.0,375.0,473.0,194.0,141.0,682.0,375.0,80.0,974.0,682.0,682.0,201.0,194.0,1012.0,1453.0,975.0,203.0,589.0,204.0
149.0,201.0,682.0,1486.0,682.0,505.0,375.0,321.0,505.0,201.0,203.0,473.0,1226.0,505.0,939.0,974.0,974.0,204.0,375.0,141.0,1460.0,80.0,194.0,1442.0,375.0
295.0,505.0,153.0,1476.0,1165.0,375.0,1339.0,974.0,1226.0,1256.0,194.0,939.0,921.0,473.0,975.0,975.0,194.0,375.0,505.0,189.0,370.0,939.0,682.0,1499.0,194.0
1442.0,975.0,921.0,1360.0,375.0,204.0,974.0,204.0,939.0,696.0,974.0,505.0,341.0,1226.0,80.0,80.0,1339.0,1312.0,921.0,1449.0,1345.0,473.0,974.0,1040.0,974.0
358.0,80.0,1339.0,622.0,1312.0,302.0,194.0,341.0,921.0,1211.0,1339.0,204.0,1339.0,939.0,473.0,939.0,975.0,194.0,682.0,939.0,1428.0,1226.0,1256.0,866.0,341.0
882.0,473.0,974.0,311.0,1339.0,921.0,1312.0,696.0,941.0,1035.0,696.0,201.0,941.0,375.0,505.0,473.0,80.0,974.0,201.0,975.0,899.0,505.0,921.0,864.0,1339.0
672.0,1339.0,941.0,610.0,974.0,341.0,341.0,1339.0,375.0,374.0,1312.0,375.0,683.0,1339.0,375.0,505.0,1226.0,696.0,204.0,80.0,1224.0,375.0,975.0,395.0,1312.0
604.0,375.0,683.0,926.0,203.0,941.0,205.0,941.0,204.0,1227.0,113.0,194.0,899.0,204.0,1226.0,204.0,473.0,341.0,153.0,1226.0,1299.0,1339.0,80.0,603.0,683.0
599.0,1226.0,146.0,395.0,683.0,683.0,683.0,1169.0,683.0,505.0,921.0,683.0,205.0,1256.0,204.0,1226.0,939.0,141.0,1256.0,203.0,1259.0,921.0,473.0,247.0,941.0
866.0,194.0,189.0,864.0,941.0,189.0,941.0,683.0,1339.0,80.0,683.0,1339.0,55.0,321.0,1339.0,341.0,505.0,941.0,102.0,473.0,341.0,204.0,1226.0,179.0,899.0
597.0,683.0,204.0,851.0,341.0,146.0,146.0,146.0,899.0,975.0,146.0,941.0,254.0,341.0,194.0,1339.0,941.0,683.0,974.0,194.0,218.0,341.0,939.0,1319.0,141.0
8.0,941.0,55.0,863.0,302.0,141.0,899.0,899.0,321.0,473.0,941.0,146.0,146.0,683.0,341.0,683.0,341.0,146.0,341.0,505.0,205.0,683.0,505.0,672.0,205.0
821.0,204.0,899.0,866.0,146.0,1312.0,696.0,205.0,146.0,1226.0,205.0,321.0,82.0,146.0,941.0,941.0,683.0,899.0,941.0,682.0,219.0,941.0,1339.0,339.0,55.0
247.0,1209.0,205.0,247.0,189.0,899.0,55.0,55.0,205.0,939.0,897.0,974.0,189.0,899.0,683.0,205.0,671.0,205.0,146.0,375.0,,146.0,683.0,1452.0,861.0
1062.0,1342.0,1169.0,672.0,55.0,940.0,940.0,370.0,141.0,682.0,899.0,341.0,1312.0,696.0,696.0,940.0,375.0,370.0,696.0,201.0,,899.0,941.0,1082.0,696.0
818.0,899.0,940.0,1075.0,940.0,205.0,897.0,1312.0,940.0,302.0,189.0,205.0,940.0,205.0,899.0,899.0,899.0,897.0,205.0,254.0,,189.0,375.0,1470.0,370.0
1075.0,156.0,302.0,597.0,897.0,254.0,861.0,940.0,55.0,203.0,1169.0,899.0,321.0,1169.0,146.0,146.0,146.0,113.0,683.0,974.0,,302.0,204.0,1506.0,1209.0
339.0,146.0,141.0,821.0,205.0,321.0,1342.0,897.0,722.0,974.0,55.0,141.0,696.0,189.0,189.0,897.0,204.0,1453.0,1339.0,1339.0,,205.0,146.0,492.0,1342.0
1319.0,219.0,1312.0,358.0,321.0,113.0,370.0,141.0,82.0,921.0,302.0,940.0,370.0,55.0,940.0,55.0,205.0,1428.0,899.0,941.0,,55.0,341.0,665.0,218.0
1452.0,,897.0,882.0,370.0,897.0,189.0,1453.0,1209.0,375.0,1342.0,55.0,1453.0,302.0,55.0,141.0,1312.0,1342.0,940.0,204.0,,897.0,899.0,818.0,1299.0
1499.0,,1324.0,1441.0,1453.0,696.0,254.0,1428.0,1342.0,1312.0,940.0,1312.0,897.0,940.0,1312.0,1453.0,897.0,189.0,141.0,1169.0,,940.0,940.0,1075.0,1196.0
1455.0,,1209.0,1437.0,1428.0,1449.0,869.0,1345.0,1224.0,940.0,1449.0,189.0,190.0,1449.0,1209.0,1312.0,1429.0,722.0,1169.0,1256.0,,190.0,696.0,1430.0,1224.0
1422.0,,1342.0,1442.0,141.0,55.0,1209.0,1209.0,1299.0,190.0,190.0,1169.0,1429.0,190.0,1342.0,1428.0,1345.0,563.0,55.0,683.0,,696.0,205.0,1408.0,219.0
665.0,,1299.0,1499.0,899.0,1429.0,218.0,1342.0,218.0,254.0,1429.0,1209.0,1345.0,1209.0,219.0,1429.0,1453.0,940.0,1312.0,146.0,,1449.0,932.0,1204.0,
1046.0,,218.0,1455.0,1345.0,190.0,1299.0,218.0,219.0,189.0,1209.0,1299.0,1428.0,1342.0,,190.0,1428.0,55.0,1209.0,302.0,,1429.0,1429.0,790.0,
